iter	RMSE
225	741349.4356
226	741102.1291
227	739687.2166
228	738206.5673
229	736710.3063
230	735893.592
231	734960.1472
232	733416.4221
233	732659.6237
234	732229.0345
235	731693.6105
236	730654.9389
237	730118.8782
238	729431.3254
239	729048.1607
240	728873.7784
241	728610.9585
242	727873.8295
243	726386.8367
244	725986.4815
245	725036.0396
246	724943.1036
247	724577.6535
248	723573.3256
249	721926.5096
250	721207.8839
251	719524.394
252	719360.896
253	719089.9536
254	718503.1858
255	717418.7655
256	716293.1657
257	715002.1201
258	714035.0561
259	712728.7798
260	712210.8224
261	711123.5226
262	711013.1868
263	709819.7519
264	708930.1934
265	707559.1267
266	705885.3048
267	705203.6119
268	704026.3854
269	703429.0948
270	703064.4823
271	702967.3672
272	701384.9419
273	700521.0897
274	699769.3816
275	698988.3047
276	698086.9633
277	697372.1612
278	697031.9845
279	696080.4043
280	695327.56
281	694452.8651
282	693767.896
283	693107.1461
284	691734.9611
285	691294.0734
286	690772.1299
287	688584.471
288	688501.3413
289	688205.2637
290	686687.8929
291	685697.8341
292	685230.7627
293	684158.0544
294	683165.6878
295	682040.826
296	680631.8602
297	680258.6821
298	678523.1335
299	678044.3177
300	677451.8434
301	676886.3221
302	676121.891
303	675490.8042
304	674835.9259
305	673410.5631
306	672682.9743
307	671922.0724
308	670413.9673
309	669602.8728
310	668335.8505
311	667471.7492
312	665661.6979
313	664692.6303
314	664075.4307
315	663325.4107
316	662637.5162
317	661375.3459
318	659202.4042
319	659091.3457
320	657583.1983
321	657070.298
322	655289.622
323	653908.7513
324	653240.1042
325	652841.0287
326	651706.3997
327	650285.9524
328	649781.4918
329	648866.4656
330	648262.1315
331	648030.9718
332	646453.1497
333	645091.2625
334	643849.8182
335	643631.2433
336	643405.5501
337	642654.6797
338	641648.6249
339	640251.4449
340	640061.8562
341	639448.0726
342	638785.5671
343	637966.9763
344	637606.0843
345	636791.0245
346	635487.006
347	635127.3659
348	634570.8839
349	634371.4247
350	633951.9627
351	632220.7464
352	631558.4211
353	630798.7748
354	630363.6488
355	629743.3618
356	628705.2868
357	627457.5589
358	627192.2929
359	626969.6324
360	626644.1767
361	625400.2575
362	624803.7839
363	624511.362
364	623386.5924
365	623207.4557
366	623005.9428
367	622467.4325
368	621953.0716
369	621517.387
370	620872.066
371	620343.6242
372	620158.9785
373	619843.5559
374	618563.7254
375	618396.2014
376	617896.0728
377	616396.4655
378	615831.3035
379	614927.4562
380	614580.9225
381	613834.4871
382	613335.7528
383	612825.981
384	612695.2528
385	611604.0655
386	611043.7616
387	610168.3862
388	609603.0511
389	609202.5534
390	608706.3687
391	608118.3941
392	606956.7731
393	606631.2072
394	606155.4447
395	605591.5437
396	605170.9256
397	605028.1143
398	604976.6785
399	603556.4758
400	603155.4078
401	601989.4155
402	600373.666
403	599913.6756
404	599672.3766
405	598599.7063
406	598531.2162
407	598155.3436
408	597750.6411
409	597338.994
410	596526.6367
411	595902.2022
412	595588.0861
413	594090.2897
414	592846.5878
415	592802.3413
416	592401.7473
417	592046.0437
418	591153.2885
419	590764.5471
420	590142.7005
421	589416.1659
422	589152.9864
423	588762.2269
424	588067.4512
425	587660.7622
426	587321.5725
427	586826.0373
428	586772.1395
429	586458.7844
430	586134.1857
431	584742.2785
432	584369.299
433	584093.4722
434	583057.5676
435	582565.9775
436	582194.9985
437	581021.7441
438	580970.4201
439	580493.7146
440	578991.1893
441	578925.5284
442	577416.8576
443	576427.6691
444	575113.8306
445	574489.4677
446	573440.7641
447	572366.2968
448	572006.3332
449	571118.4601
450	569740.6607
451	569223.2445
452	568717.5826
453	568455.8564
454	568161.6904
455	566960.0807
456	566687.7704
457	566203.6348
458	565854.4665
459	565068.3963
460	564650.7724
461	564039.0459
462	563983.0102
463	563554.7701
464	562660.9829
465	562069.1406
466	561684.8233
467	560338.4647
468	559461.1856
469	558912.1544
470	558460.8829
471	557973.7252
472	556937.4308
473	556633.616
474	556355.9427
475	555019.0596
476	554566.5228
477	554136.6895
478	553515.875
479	552734.301
480	552525.7572
481	552238.5751
482	552073.6674
483	552016.46
484	551702.351
485	550980.4826
486	550524.1362
487	550465.0749
488	550138.2047
489	550082.3725
490	548896.3452
491	548375.2483
492	548198.6479
493	547832.2454
494	546480.8179
495	545957.9332
496	545917.1661
497	545621.9213
498	545590.2612
499	544868.8223
500	544483.1603
501	543622.8597
502	542808.0747
503	542391.7791
504	541348.5951
505	540333.9648
506	540071.4672
507	539344.5344
508	539096.8264
509	538675.4205
510	538638.8122
511	538271.5843
512	537846.2262
513	537058.9161
514	536677.9629
515	536445.3687
516	535442.9367
517	534473.7549
518	533898.5002
519	533106.0583
520	533069.5507
521	532370.7204
522	531188.3634
523	530410.8241
524	529926.5189
525	529675.156
526	529459.7384
527	529196.67
528	529145.8687
529	528767.589
530	528352.5057
531	528309.6582
532	528066.4755
533	526866.6437
534	525839.3563
535	525313.5846
536	525210.1791
537	524071.924
538	523707.5159
539	523473.1794
540	523046.8514
541	521927.7876
542	521633.2631
543	521282.9678
544	520198.3569
545	519484.4238
546	519435.5589
547	519388.3386
548	518485.4832
549	518264.3268
550	517718.7158
551	516995.8551
552	516194.5796
553	515374.9839
554	515043.8499
555	515001.873
556	514973.0241
557	514409.0726
558	514198.6144
559	513376.6434
560	513229.1884
561	513204.1626
562	512272.0952
563	511070.1178
564	510716.4874
565	509615.6817
566	508973.2351
567	508623.3468
568	508401.739
569	507744.205
570	507506.4517
571	506880.8645
572	506578.988
573	506526.5905
574	506296.2172
575	505231.5677
576	504904.8485
577	503956.3309
578	503046.8813
579	502438.1402
580	501940.1021
581	501899.2411
582	501610.3366
583	501244.1846
584	501005.773
585	500234.029
586	499749.4987
587	499443.1383
588	499211.9846
589	499130.1279
590	498882.7107
591	497928.4245
592	497848.9022
593	497562.8842
594	497274.2593
595	497230.0942
596	496900.2729
597	495927.8677
598	495130.6298
599	494360.0955
600	494329.4553
601	493137.9489
602	493099.4664
603	492904.173
604	491910.705
605	491037.0483
606	490439.5451
607	490094.19
608	489395.0064
609	488828.316
610	488289.187
611	487955.1014
612	487922.3921
613	487603.77
614	486900.4609
615	486277.2486
616	485383.9208
617	485149.703
618	484877.3151
619	483815.4835
620	483212.7793
621	482169.1718
622	482140.2002
623	481905.7572
624	481454.8086
625	481267.4556
626	481224.2505
627	481203.2282
628	480780.1602
629	480159.472
630	479674.4139
631	479410.9284
632	479383.4837
633	478939.3535
634	478886.6696
635	478863.3287
636	478579.0609
637	477881.0491
638	477214.9097
639	476604.3646
640	476391.1876
641	475640.0291
642	475605.9216
643	474677.5058
644	474585.9411
645	474288.5584
646	474108.1247
647	474075.6885
648	473157.3471
649	472702.9149
650	472297.3766
651	472258.7037
652	471707.0314
653	471221.4722
654	470306.6754
655	469877.8271
656	469287.5469
657	468965.2122
658	468367.7887
659	468291.4105
660	468124.7641
661	467809.573
662	467275.1112
663	466988.0811
664	466360.2193
665	466131.8405
666	466110.7976
667	465182.6943
668	464869.6856
669	464724.5078
670	464696.1815
671	464669.0099
672	464124.8046
673	463761.9399
674	463388.8231
675	463213.1349
676	462904.2192
677	461680.358
678	461478.8657
679	461159.5533
680	460864.3852
681	460802.9253
682	460155.1451
683	459467.6307
684	458753.0027
685	458407.9261
686	458149.6133
687	457674.6807
688	457309.3033
689	457002.7508
690	456434.8886
691	456293.0493
692	455956.4093
693	455783.9161
694	455470.9712
695	455191.0922
696	454766.768
697	454529.144
698	454176.7588
699	453941.6976
700	453329.1165
701	452920.2486
702	452564.3194
703	452227.0874
704	452011.3851
705	451629.2223
706	451364.9801
707	451017.0463
708	450636.777
709	450232.3341
710	449703.047
711	449310.9181
712	448597.5884
713	448576.6368
714	447862.1185
715	447656.0876
716	447313.7851
717	446733.008
718	446457.2298
719	446047.2642
720	446033.3883
721	445804.9526
722	445361.1079
723	445119.193
724	444711.6966
725	444224.8441
726	444199.3656
727	444048.3824
728	443569.3737
729	443370.1586
730	442847.1979
731	442167.8335
732	441864.0125
733	441243.8457
734	441041.1393
735	440457.233
736	440225.5448
737	439853.81
738	439358.7419
739	438248.7459
740	437962.677
741	437789.97
742	436804.9791
743	436571.4718
744	436398.615
745	436292.5953
746	435466.3625
747	434855.6687
748	434690.6589
749	434338.0672
750	434320.2305
751	433810.4151
752	433506.918
753	433167.4793
754	432631.6112
755	432119.3909
756	431793.6646
757	431470.5372
758	431310.6287
759	431227.3945
760	431209.7734
761	430825.3704
762	430789.5727
763	430775.1775
764	430003.5873
765	429689.3566
766	429362.7928
767	428933.0284
768	428111.5824
769	427804.9148
770	427536.5403
771	427111.5503
772	427092.1074
773	426961.3362
774	426551.681
775	426270.0262
776	425944.5857
777	425828.8614
778	425613.7127
779	425484.2635
780	424977.6871
781	424825.2734
782	424587.9845
783	424450.3033
784	424299.1487
785	424285.7636
786	423561.7075
787	423539.6782
788	422993.1637
789	422566.6165
790	422534.9081
791	422123.1018
792	422081.0997
793	421396.4218
794	421278.1152
795	421015.558
796	420283.7541
797	419683.1434
798	419392.631
799	418716.1484
800	417961.6011
801	417637.5552
802	417511.7543
803	416990.6132
804	416807.0841
805	416357.6897
806	416341.7139
807	416122.1009
808	415826.028
809	415701.8528
810	415683.7367
811	415231.4455
812	415211.4931
813	414755.196
814	413933.8799
815	413753.6414
816	413405.0229
817	412957.7336
818	412860.451
819	412842.0812
820	412825.4001
821	412813.6194
822	412597.1904
823	411749.5186
824	411515.9302
825	411057.8037
826	410919.7348
827	410561.1306
828	409785.8454
829	409471.1134
830	409445.5679
831	408946.2522
832	408829.1182
833	408477.4566
834	408231.6419
835	407834.2324
836	407810.3966
837	407354.6767
838	407086.5491
839	407075.7703
840	406740.6615
841	406498.4136
842	406482.3607
843	406208.3034
844	406095.8305
845	406048.5922
846	405607.0634
847	405377.333
848	404962.3063
849	404848.8706
850	404466.769
851	404193.4984
852	404049.676
853	403926.7499
854	403658.6229
855	403081.1641
856	403067.1505
857	402992.1477
858	402758.109
859	402634.6389
860	402236.0676
861	401660.1949
862	401369.6042
863	401186.9509
864	400738.1374
865	400469.2177
866	400447.7269
867	400059.7287
868	399816.9869
869	399799.389
870	399682.7558
871	399507.9671
872	399490.3955
873	398837.266
874	398309.5858
875	397861.9714
876	397119.2769
877	396831.5789
878	396672.6357
879	396583.8306
880	396092.5701
881	395761.6894
882	395604.1574
883	395566.3588
884	395440.5701
885	395196.5147
886	394273.3512
887	393999.2884
888	393850.4469
889	393459.809
890	393229.2792
891	392996.3421
892	392979.5112
893	392962.6221
894	392672.2954
895	392661.2613
896	392121.4746
897	391940.3631
898	391521.9722
899	391357.0483
900	390598.047
901	390378.4003
902	390333.2988
903	389682.5569
904	389524.5606
905	389235.2924
906	388920.0001
907	388380.3967
908	388265.6922
909	388247.3782
910	387577.383
911	387424.6982
912	387024.8398
913	386960.244
914	386832.3224
915	386379.2032
916	385972.8206
917	385959.474
918	385514.1796
919	385359.0881
920	385159.6836
921	384930.2535
922	384661.7789
923	384353.927
924	384248.7664
925	384156.8975
926	384018.2449
927	383591.5609
928	383494.6789
929	383342.3471
930	383289.0221
931	383226.5613
932	383166.0787
933	383148.6743
934	382991.0795
935	382549.6525
936	381978.2729
937	381748.9923
938	381341.6228
939	381238.4474
940	380600.3626
941	380585.6429
942	380316.7079
943	379822.0227
944	379494.7921
945	379312.9747
946	379179.2556
947	378995.1938
948	378980.6243
949	378885.7809
950	378613.0218
951	378284.7454
952	377995.2474
953	377987.8402
954	377975.417
955	377844.9831
956	377833.4825
957	377133.6542
958	376758.7273
959	376748.8265
960	376598.9982
961	376357.0928
962	376349.4718
963	376210.7221
964	376001.0531
965	375327.3008
966	375097.5844
967	375015.0941
968	374312.2546
969	373716.8947
970	373097.9908
971	372923.5842
972	372786.9737
973	372596.8689
974	372493.1775
975	372385.3009
976	372363.7111
977	372214.3356
978	371791.8682
979	371246.913
980	370952.1339
981	370845.2692
982	370653.6006
983	370591.4283
984	370397.7586
985	370307.6845
986	370173.2859
987	370003.1682
988	369829.7618
989	369716.4086
990	369092.8416
991	369081.9845
992	368763.5798
993	368753.2807
994	368741.9762
995	368468.7321
996	368011.3018
997	367916.0387
998	367712.1289
999	367247.0402
	344337.2936
